Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R35,R0603_10k_1%_100mW_100PPM_AC,R_0603_1608Metric,147.3,-88.5,180.0,top
R36,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,129.6,-77.2,0.0,top
R37,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,129.6,-71.4,0.0,top
R38,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,157.2,-68.8,180.0,top
R39,R0805_1.5k_1%_125mW_100PPM_AC,R_0805_2012Metric,157.2,-74.6,180.0,top
R4,R0603_1k_1%_100mW_100PPM_AC,R_0603_1608Metric,133.3,-113.0,90.0,bottom
R5,R0603_1k_1%_100mW_100PPM_AC,R_0603_1608Metric,140.5,-113.0,90.0,bottom
R6,R0603_1k_1%_100mW_100PPM_AC,R_0603_1608Metric,147.4,-113.0,90.0,bottom
R7,R0603_1k_1%_100mW_100PPM_AC,R_0603_1608Metric,154.5,-112.9,90.0,bottom
R8,R0603_1k_1%_100mW_100PPM_AC,R_0603_1608Metric,164.02,-108.4,-90.0,top
R9,R0603_1k_1%_100mW_100PPM_AC,R_0603_1608Metric,171.32,-108.4,-90.0,top
U1,PCA9635,TSSOP-28_4.4x9.7mm_P0.65mm,173.4625,-99.8,0.0,top
U4,MCP23008-xSO,SOIC-18W_7.5x11.6mm_P1.27mm,121.9625,-95.0,90.0,top
